Date,Year,MonthName,MonthNumber
2024-01-01,2024,January,1
2024-02-01,2024,February,2
2024-03-01,2024,March,3
2024-04-01,2024,April,4
2024-05-01,2024,May,5
2024-06-01,2024,June,6
2024-07-01,2024,July,7
2024-08-01,2024,August,8
2024-09-01,2024,September,9
2024-10-01,2024,October,10
2024-11-01,2024,November,11
2024-12-01,2024,December,12
2025-01-01,2025,January,1
2025-02-01,2025,February,2
2025-03-01,2025,March,3
2025-04-01,2025,April,4
2025-05-01,2025,May,5
2025-06-01,2025,June,6
2025-07-01,2025,July,7
2025-08-01,2025,August,8
2025-09-01,2025,September,9
2025-10-01,2025,October,10
2025-11-01,2025,November,11
2025-12-01,2025,December,12
2026-01-01,2026,January,1
2026-02-01,2026,February,2
2026-03-01,2026,March,3
2026-04-01,2026,April,4
2026-05-01,2026,May,5
2026-06-01,2026,June,6
2026-07-01,2026,July,7
2026-08-01,2026,August,8
2026-09-01,2026,September,9
2026-10-01,2026,October,10
2026-11-01,2026,November,11
2026-12-01,2026,December,12
